#1:t_esc(gyr)	#2:m1	#3:m2	#4:id1	#5:id2	#6:a	#7:e	#8:t_mgr(gyr)	#9:dyn	#10:BS	#11:BB	#12:prev_partners_1	#13:prev_partners_2	#14:last_binint_type	#15:last_bininit_time	#16:model
0.238642  39.226973  36.817513  348618.0  434915.0  0.496656  0.533248  54.218649  1.0  4.0  1.0  1.0  2.0  2.0  0.238642  5e5-z0.001-2
0.248224  25.375093  39.448093  287234.0  608944.0  0.512286  0.570862  84.232646  1.0  10.0  4.0  1.0  5.0  2.0  0.248224  5e5-z0.001-2
0.269064  19.142517  40.383036  5388.0  397590.0  0.67544  0.904303  4.569349  1.0  1.0  0.0  0.0  8.0  1.0  0.269064  5e5-z0.001-2
0.287928  25.33227  27.004428  272048.0  550481.0  1.034938  0.919458  17.849909  1.0  1.0  0.0  1.0  3.0  1.0  0.287928  5e5-z0.001-2
0.316245  40.520346  32.098985  247579.0  627749.0  0.547384  0.427792  147.853768  1.0  3.0  2.0  5.0  1.0  1.0  0.316245  5e5-z0.001-2
0.333856  16.098927  24.420319  345574.0  400425.0  0.534537  0.412838  840.11418  1.0  2.0  3.0  0.0  1.0  1.0  0.333856  5e5-z0.001-2
0.357466  23.126889  28.018197  254671.0  370995.0  0.39024  0.637091  36.142063  1.0  4.0  0.0  0.0  3.0  1.0  0.357466  5e5-z0.001-2
0.401572  18.757474  25.376704  223461.0  318407.0  0.200126  0.499523  9.187331  1.0  0.0  1.0  1.0  3.0  2.0  0.401572  5e5-z0.001-2
0.429671  41.2733  31.592058  78863.0  163163.0  0.812041  0.740559  92.185175  1.0  5.0  2.0  17.0  2.0  1.0  0.429671  5e5-z0.001-2
0.441811  16.907135  25.28467  277574.0  605537.0  0.263131  0.959993  0.456722  1.0  4.0  1.0  0.0  1.0  1.0  0.441811  5e5-z0.001-2
0.482514  25.345787  14.252477  196015.0  227562.0  0.399057  0.832978  10.068003  1.0  1.0  0.0  2.0  0.0  1.0  0.482514  5e5-z0.001-2
0.491291  18.850032  25.281174  261600.0  365754.0  1.217945  0.85781  345.394549  1.0  2.0  0.0  1.0  1.0  1.0  0.491291  5e5-z0.001-2
0.527883  25.348936  26.699806  436353.0  441208.0  0.427992  0.969801  0.548932  1.0  5.0  0.0  4.0  4.0  1.0  0.527883  5e5-z0.001-2
0.568872  22.925961  25.258665  406226.0  486823.0  0.672382  0.958646  1.027227  1.0  1.0  0.0  1.0  2.0  1.0  0.568872  5e5-z0.001-2
0.599112  18.241897  24.686639  315609.0  686697.0  0.563017  0.436074  782.649245  1.0  1.0  0.0  0.0  4.0  1.0  0.599112  5e5-z0.001-2
0.638806  23.933404  28.064743  185671.0  632009.0  1.579818  0.890349  261.588817  1.0  7.0  0.0  1.0  7.0  1.0  0.638806  5e5-z0.001-2
0.691971  24.526981  29.258868  122059.0  476037.0  0.49157  0.50053  173.943499  1.0  1.0  0.0  2.0  9.0  1.0  0.691971  5e5-z0.001-2
0.697404  18.476116  18.644874  212651.0  371114.0  0.398585  0.914033  2.030407  1.0  1.0  0.0  1.0  0.0  1.0  0.697404  5e5-z0.001-2
0.794308  31.20417  19.292378  113521.0  175279.0  1.336599  0.91301  74.43208  1.0  5.0  1.0  16.0  0.0  2.0  0.794308  5e5-z0.001-2
0.794308  25.370311  18.645398  160050.0  348191.0  0.519926  0.823649  23.184146  1.0  3.0  1.0  1.0  0.0  2.0  0.794308  5e5-z0.001-2
0.857697  25.347116  25.322946  296154.0  1029625.0  0.721189  0.631038  445.404773  1.0  2.0  0.0  0.0  2.0  1.0  0.857697  5e5-z0.001-2
0.880055  20.71121  25.307994  17900.0  110444.0  0.769466  0.860088  46.449692  1.0  1.0  0.0  1.0  5.0  1.0  0.880055  5e5-z0.001-2
0.978424  21.009197  18.444458  305379.0  343100.0  1.008692  0.86602  186.574371  1.0  1.0  0.0  2.0  0.0  1.0  0.978424  5e5-z0.001-2
1.023884  25.324052  18.648833  508165.0  524797.0  0.267289  0.935316  1.09029  1.0  3.0  1.0  2.0  1.0  1.0  1.023884  5e5-z0.001-2
1.072594  25.27294  24.383673  121635.0  386824.0  0.826568  0.572977  1193.06384  1.0  1.0  0.0  5.0  1.0  1.0  1.072594  5e5-z0.001-2
1.132207  25.240166  13.807294  313448.0  450600.0  0.979757  0.951261  8.403317  1.0  1.0  0.0  8.0  0.0  1.0  1.132207  5e5-z0.001-2
1.167768  24.897173  27.916266  184628.0  472928.0  0.952989  0.447336  3237.430077  1.0  3.0  1.0  3.0  18.0  1.0  1.167768  5e5-z0.001-2
1.419574  19.204834  19.338388  103338.0  276965.0  0.740685  0.695177  668.091991  1.0  1.0  0.0  0.0  4.0  1.0  1.419574  5e5-z0.001-2
1.46528  23.137016  24.654202  168769.0  466804.0  0.333482  0.998063  1.465281  1.0  4.0  0.0  4.0  6.0  1.0  1.46528  5e5-z0.001-2
1.488267  25.276787  25.317055  109590.0  488176.0  0.743364  0.367573  1794.09768  1.0  1.0  0.0  9.0  4.0  1.0  1.488267  5e5-z0.001-2
