#1:t(gyr)	#2:m1	#3:m2	#4:id1	#5:id2	#6:dyn	#7:BS	#8:BB	#9:prev_partners_1	#10:prev_partners_2	#11:a	#12:e	#13:model
0.946943  7.33399  14.1848  1920015.0  2033307.0  1.0  2.0  1.0  10.0  0.0  0.046036  0.369635  2e6-z0.0002-rg20-1
0.013985  16.2298  22.273  411874.0  536774.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  5e5-z0.0002-rg20-1
0.014427  18.2517  26.9067  424104.0  522329.0  1.0  1.0  1.0  5.0  0.0  0.0  0.0  5e5-z0.0002-rg20-1
0.017419  19.7626  30.914  293794.0  606313.0  1.0  2.0  0.0  2.0  0.0  3.59754  0.274819  5e5-z0.0002-rg20-1
0.017623  21.7342  24.6889  17285.0  504306.0  1.0  1.0  0.0  2.0  0.0  0.324506  0.000595  5e5-z0.0002-rg20-1
0.019784  8.30005  15.1061  284795.0  510119.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  5e5-z0.0002-rg20-1
0.022683  21.5074  29.0945  270020.0  521795.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  5e5-z0.0002-rg20-1
0.042607  10.9346  10.6104  226719.0  516215.0  0.0  0.0  0.0  0.0  2.0  0.0  0.0  5e5-z0.0002-rg20-1
0.031649  7.42154  7.89862  64290.0  210717.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2e5-z0.001-rg8-rv2
0.010341  16.8114  22.9708  300369.0  528299.0  0.0  0.0  0.0  4.0  0.0  0.0  0.0  5e5-z0.001-rg8-rv2
0.061938  14.867  17.809  58821.0  526076.0  0.0  0.0  0.0  5.0  0.0  0.0  0.0  5e5-z0.001-rg8-rv2
0.078733  15.355  18.3932  192188.0  519455.0  0.0  0.0  0.0  8.0  0.0  0.0  0.0  5e5-z0.001-rg8-rv2
